n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,80,5.63748152036754,784955.6773215261,0.4275492456965775,13
2,160,5.63748152036754,384660.64321717736,0.4244290138315971,24
3,240,0.21671917894433038,368385.687525295,0.4170479284785108,24
4,320,0.21671917894433038,353848.33287484146,0.4340498607832186,24
5,400,0.21671917894433038,326693.03711127554,0.4338368502452582,31
6,480,0.21671917894433038,160095.23150731865,0.44568296417432224,18
7,560,0.031067200711964903,160095.23150731865,0.44568296417432224,17
8,640,0.031067200711964903,12746.605526023592,0.4451323908057507,19
9,720,0.031067200711964903,820.0052741220765,0.4468497992083658,26
10,800,0.0024644591862942257,820.0052741220765,0.4387867601741637,32
11,880,0.0024644591862942257,820.0052741220765,0.4481101688088124,38
12,960,0.0010045978366778885,820.0052741220765,0.4106461764082806,26
13,1040,0.0010045978366778885,820.0052741220765,0.3736770463601676,23
14,1120,0.0008749399997100922,820.0052741220765,0.3736770463601676,28
15,1200,0.0008749399997100922,820.0052741220765,0.44827410686793223,35
16,1280,0.0008749399997100922,704.1927048562538,0.4687021749737178,39
17,1360,0.0008749399997100922,158.19023217195834,0.4685241592382441,39
18,1440,0.0006664263035080988,158.19023217195834,0.45606147831494076,39
19,1520,0.00019536866057727413,79.597715098729,0.49830098463081085,43
20,1600,0.00011587859923199001,79.597715098729,0.49830098463081085,52
21,1680,0.00011587859923199001,79.597715098729,0.4986305804943374,63
22,1760,6.026590910764835e-05,1.9444512477547298,0.5001732646626436,63
23,1840,6.026590910764835e-05,1.9444512477547298,0.5001732646626436,61
24,1920,6.026590910764835e-05,1.9444512477547298,0.4985128927881609,61
25,2000,5.930680762855674e-05,1.0359595190321762,0.5333962209005232,63
26,2080,5.930680762855674e-05,1.0359595190321762,0.5637460715161022,69
27,2160,5.930680762855674e-05,1.0359595190321762,0.5637460715161022,62
28,2240,1.74728646149692e-05,1.0359595190321762,0.5703004007038271,52
29,2320,3.687477943881619e-07,1.0359595190321762,0.5405553656162163,53
30,2400,3.687477943881619e-07,0.7272506227760377,0.5405553656162163,62
31,2480,4.303186429876272e-08,0.7272506227760377,0.5405553656162163,70
32,2560,4.303186429876272e-08,0.7272506227760377,0.5699273393830787,68
33,2640,4.303186429876272e-08,0.7272506227760377,0.5852664448103365,52
34,2720,2.2666196899143224e-08,0.5652265722675268,0.5852664448103365,61
35,2800,2.2666196899143224e-08,0.5638498336009976,0.5950767698229159,69
36,2880,2.2058046943735115e-08,0.12500135148914998,0.594530919546675,74
37,2960,2.2058046943735115e-08,0.12500135148914998,0.594530919546675,80
38,3040,2.2058046943735115e-08,0.12500135148914998,0.6010739929025914,80
39,3120,2.2058046943735115e-08,0.12500135148914998,0.6010739929025914,80
40,3200,2.2058046943735115e-08,0.045512039227186274,0.6010739929025914,80
41,3280,2.098812926835812e-08,0.045512039227186274,0.6018085290832036,80
42,3360,2.098812926835812e-08,0.045512039227186274,0.6019763981347088,80
43,3440,2.098812926835812e-08,0.045512039227186274,0.6019763981347088,80
44,3520,2.098812926835812e-08,0.045512039227186274,0.6019763981347088,80
45,3600,2.098812926835812e-08,0.045512039227186274,0.6019763981347088,80
46,3680,2.098812926835812e-08,0.045512039227186274,0.6020747369023021,80
47,3760,2.098812926835812e-08,0.045512039227186274,0.6020747369023021,80
48,3840,2.098812926835812e-08,0.045512039227186274,0.5901399025393312,80
49,3920,2.098812926835812e-08,0.045512039227186274,0.6016866618844463,80
50,4000,2.098812926835812e-08,0.0,0.5840319551885527,80
51,4080,2.098812926835812e-08,0.0,0.5840319551885527,80
52,4160,1.9944377431411768e-08,0.0,0.5840319551885527,80
53,4240,1.9944377431411768e-08,0.0,0.5840319551885527,80
54,4320,1.0423739113284468e-08,0.0,0.6020747369023021,80
55,4400,5.093376428731653e-09,0.0,0.5936118023238821,80
56,4480,5.093376428731653e-09,0.0,0.5936118023238821,80
57,4560,5.093376428731653e-09,0.0,0.5936118023238821,80
