n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,80,5.63748152036754,784955.6773215261,0.4275492456965775,13
2,160,5.63748152036754,384660.64321717736,0.4244290138315971,24
3,240,5.63748152036754,109691.41338555029,0.41951045864420755,17
4,320,4.0030638633176405,109691.41338555029,0.41951045864420755,20
5,400,2.424164632530468,4272.704675182011,0.40123353115785787,27
6,480,0.4336552963788093,4272.704675182011,0.2752574591301209,25
7,560,0.2745344798968466,4272.704675182011,0.2752574591301209,22
8,640,0.2745344798968466,1780.7324139733635,0.4285077288668721,24
9,720,0.2745344798968466,1294.2376824660341,0.27685462883586875,27
10,800,0.041821682407960484,1294.2376824660341,0.27685462883586875,29
11,880,0.001499194227114491,680.8594699886692,0.28714745049421553,28
12,960,0.001499194227114491,67.69207251254223,0.2816118774213908,24
13,1040,0.001499194227114491,8.241887704694719,0.41522160904514305,37
14,1120,0.001499194227114491,8.241887704694719,0.28762365175224114,35
15,1200,0.001499194227114491,7.139198722020105,0.26258772961684707,39
16,1280,0.001214921098837802,6.361084003756476,0.3851661942052028,40
17,1360,0.001214921098837802,0.2387111134454564,0.43058582068874446,50
18,1440,0.001214921098837802,0.2387111134454564,0.43058582068874446,54
19,1520,0.00014889505025140372,0.2387111134454564,0.43855981534551225,43
20,1600,0.00014889505025140372,0.2025264915687882,0.4532026197707288,46
21,1680,0.00014889505025140372,0.2025264915687882,0.4545114111211195,53
22,1760,0.0001295873344529646,0.2025264915687882,0.466359327317986,63
23,1840,0.00010074163358187242,0.2025264915687882,0.4681307427268091,67
24,1920,9.043511237299319e-05,0.2025264915687882,0.4681307427268091,75
25,2000,9.043511237299319e-05,0.1619433413820956,0.4681307427268091,72
26,2080,9.043511237299319e-05,0.06797797653590469,0.492345939979006,78
27,2160,9.043511237299319e-05,0.06797797653590469,0.4923714838666804,80
28,2240,9.043511237299319e-05,0.06797797653590469,0.4923714838666804,80
29,2320,9.043511237299319e-05,0.050195705438459054,0.4923714838666804,75
30,2400,9.043511237299319e-05,0.050195705438459054,0.4923714838666804,80
31,2480,2.6785056410467547e-05,0.050195705438459054,0.4923714838666804,80
32,2560,2.6785056410467547e-05,0.050195705438459054,0.5376227644505467,80
33,2640,3.425323393453752e-06,0.01485975850994084,0.5732704717168372,80
34,2720,1.8557527823682125e-06,0.01485975850994084,0.5750988538324104,80
35,2800,7.529962881531238e-07,0.01485975850994084,0.5750988538324104,80
36,2880,7.529962881531238e-07,0.01485975850994084,0.5750988538324104,80
37,2960,7.529962881531238e-07,0.01485975850994084,0.5750988538324104,80
38,3040,7.529962881531238e-07,0.014764555710451682,0.580486651425852,80
39,3120,7.529962881531238e-07,0.014764555710451682,0.5867898424103355,78
40,3200,7.529962881531238e-07,0.0,0.6026449411135197,80
41,3280,7.529962881531238e-07,0.0,0.6049335366589672,80
42,3360,7.529962881531238e-07,0.0,0.6051387511716626,80
43,3440,7.529962881531238e-07,0.0,0.6051387511716626,80
44,3520,7.529962881531238e-07,0.0,0.6061498977798621,80
45,3600,1.196475582259369e-07,0.0,0.6061498977798621,80
46,3680,1.196475582259369e-07,0.0,0.6074527531074339,80
47,3760,1.196475582259369e-07,0.0,0.5445607018547414,80
48,3840,1.0562589633156602e-07,0.0,0.5445607018547414,80
49,3920,1.0562589633156602e-07,0.0,0.6074527531074339,80
50,4000,1.0562589633156602e-07,0.0,0.596144679134903,80
51,4080,1.0562589633156602e-07,0.0,0.5210470599451712,80
52,4160,1.0562589633156602e-07,0.0,0.5210470599451712,80
53,4240,1.0562589633156602e-07,0.0,0.5210470599451712,80
54,4320,1.0562589633156602e-07,0.0,0.5210470599451712,80
55,4400,1.0562589633156602e-07,0.0,0.5064757733197562,80
56,4480,1.0545824902177541e-07,0.0,0.5556201807149408,80
57,4560,4.788000455427902e-08,0.0,0.5556201807149408,80
58,4640,4.788000455427902e-08,0.0,0.5556951208119849,80
59,4720,4.788000455427902e-08,0.0,0.5556951208119849,80
