n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,80,22.907081780345198,722919.4773821799,0.5256147948649613,23
2,160,22.907081780345198,432250.3097886775,0.5257009168781372,25
3,240,22.907081780345198,432250.3097886775,0.525422131213398,21
4,320,22.907081780345198,432250.3097886775,0.525422131213398,34
5,400,21.855336888268653,424768.57959759026,0.5256634900155832,30
6,480,20.764898412444797,424768.57959759026,0.5282854218987063,33
7,560,20.764898412444797,424768.57959759026,0.5350742589839266,38
8,640,20.764898412444797,424768.57959759026,0.5333743181795374,45
9,720,20.764898412444797,424768.57959759026,0.5331915459143719,49
10,800,20.764898412444797,424768.57959759026,0.5287793022293186,61
11,880,20.764898412444797,424768.57959759026,0.4870589546760127,53
12,960,20.764898412444797,424768.57959759026,0.5331785704172257,36
13,1040,20.764898412444797,424768.57959759026,0.5365052194312143,30
14,1120,20.764862815431815,424768.57959759026,0.5353071948087427,43
15,1200,20.764862815431815,424768.57959759026,0.4993805827320969,57
16,1280,20.764862815431815,424729.9573286269,0.49952552257174054,66
17,1360,20.764852829482457,424701.59860559436,0.4881526723193428,69
18,1440,20.764852829482457,424692.78476524056,0.5349195861155102,73
19,1520,20.764852829482457,424674.1381576721,0.5449865241322804,80
20,1600,20.764852829482457,424648.61004248087,0.5479419325509507,80
21,1680,20.764852829482457,424648.61004248087,0.5479419325509507,80
22,1760,20.764852829482457,424648.61004248087,0.5479419325509507,80
23,1840,20.764840720124578,424648.61004248087,0.5481127653525399,80
24,1920,20.764840720124578,424648.61004248087,0.5481127653525399,80
25,2000,20.764840720124578,424648.61004248087,0.5481127653525399,80
26,2080,20.76483931559781,424648.61004248087,0.5481127653525399,80
27,2160,20.76483931559781,424648.61004248087,0.5487849793590849,80
28,2240,20.76483931559781,424648.61004248087,0.5488678401375686,80
29,2320,20.76483931559781,424648.61004248087,0.5481877322529054,80
30,2400,20.76483931559781,424648.61004248087,0.5481877322529054,80
31,2480,20.76483931559781,424648.61004248087,0.5481877322529054,80
32,2560,20.76483931559781,424648.61004248087,0.5481877322529054,80
33,2640,20.76483931559781,424642.7320255568,0.5482219772497601,80
34,2720,20.76483931559781,424642.7320255568,0.5482219772497601,80
35,2800,20.76483931559781,424642.7320255568,0.5482219772497601,80
36,2880,20.76483931559781,424642.7320255568,0.5482220093678392,80
37,2960,20.76483931559781,424642.7320255568,0.5482220093678392,80
38,3040,20.76483931559781,424642.7320255568,0.5484458227271112,80
39,3120,20.76483931559781,424642.7320255568,0.548435044100313,80
40,3200,20.76483931559781,424641.57152255,0.548435044100313,80
41,3280,20.76483931559781,424641.57152255,0.548435044100313,80
42,3360,20.76483931559781,424641.57152255,0.5486948950440019,80
43,3440,20.76483931559781,424641.57152255,0.5486648054788088,80
44,3520,20.76483906503664,424641.57152255,0.5488537668648297,80
45,3600,20.76483906503664,424641.57152255,0.5488760320579791,80
46,3680,20.76483906503664,424641.57152255,0.54880269234262,80
47,3760,20.76483906503664,424641.57152255,0.54880269234262,80
48,3840,20.76483906503664,424641.57152255,0.5488892177709587,80
49,3920,20.76483906503664,424638.97802763473,0.5491114597593647,80
50,4000,20.76483906503664,424638.97802763473,0.5491114597593647,80
51,4080,20.76483906503664,424638.97802763473,0.5491114597593647,80
