Solution_ID,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,electrolyser,battery_storage,thermal_storage,hydrogen_storage,Cost,Emissions_kg,Resilience,Knee_Cost_Emissions,Knee_Cost_Resilience,Knee_Emissions_Resilience,Ideal_Distance
0,1.999993289866604,1.9999964881449104,1.0898800089984197,1.9999980048459114,1.9997536126235362,1.999970617401393,1.4625666345909833,1.9825880169945205,1.9961826331089048,414.70237942747053,4628026.362626557,0.5534176272647513,YES,NO,NO,NO
1,1.9999524749785595,1.9999088666554592,1.9185823627926646,1.9999838298713921,1.9999676567704456,1.9230019248532804,1.4712690460412783,1.927051774444199,0.10000000000000016,20.764838802605603,8146997.54153182,0.5562497246458804,NO,NO,NO,NO
2,1.9999484946689572,1.9999653936270834,0.1000000000196694,1.9999092232176439,1.999987284724982,1.999956245123576,0.9618557544847518,1.9297025403067893,0.1000482204658901,20.774851704617383,424636.3200835233,0.5496643542704236,NO,NO,NO,NO
3,1.9998848741570032,1.999981393377744,1.9997850138647162,1.999924711896179,1.9999634822573606,1.9999811663132658,1.7973895775047868,1.9993396744476681,0.1353332430388582,28.10172976335725,8491813.490786621,0.5567045421827129,NO,NO,NO,NO
4,1.9999060712602612,1.9996726992946035,1.889974376287414,1.9995771366243096,1.9999839864235998,1.999948177858774,1.47092376968577,1.9492719457293608,0.9932610265577052,206.29318283046024,8025517.640409826,0.5562837559412049,NO,NO,NO,NO
5,1.9999103779548482,1.9999955336316466,0.19168483003015557,1.999999106622799,1.999986894177064,1.9999624718830613,1.3715962535875308,1.9770930734812888,0.9904357124833683,205.70621707142425,813963.4082383075,0.5500301596908184,NO,NO,NO,NO
6,1.9998816279314982,1.999981393377744,1.1067188306933473,1.9999268092611124,1.9999634822573606,1.9999811663132658,1.7065723223471727,1.9993396744476681,0.9128144839970511,189.58094444331894,4699530.11540326,0.553472715008964,NO,NO,NO,NO
7,1.9999157013123308,1.9999593977168484,1.5153418075513234,1.9998778922957359,1.9999088235512315,1.9997909982067992,1.8420522515269127,1.9938460541901664,1.6782463834142847,348.6224099491379,6434691.687007421,0.5549691958304016,NO,NO,NO,NO
8,1.9999334389651082,1.9998626518407927,1.2712588872395079,1.999993896566658,1.9999477967760189,1.9999314182741013,1.0340020571217468,1.6921550985015867,1.2897919891093022,267.9013423885539,5398226.956446795,0.5540770179783574,NO,NO,NO,NO
9,1.9995430894484931,1.9999998903804392,0.6804215183036679,1.9998959300014185,1.9999962969723961,1.9999614687566363,1.0389117492429096,1.943729732926208,0.2325241060255784,48.284150187504146,2889316.8958128216,0.551897733336421,NO,NO,NO,NO
10,1.9998848741570032,1.999995854833007,1.9323502444542149,1.999923362728444,1.9999289265792017,1.9999861743963578,1.9218244143339833,1.999450114201894,0.15692534815954384,32.585295585756775,8205460.967561385,0.556471370908469,NO,NO,NO,NO
11,1.9999968892930686,1.9996891105373857,0.32038734367477906,1.9999386391186225,1.9999494064060035,1.9999964080500032,1.362856260176801,1.9852475190164878,0.17435631287202658,36.20480731004271,1360481.0259263346,0.5505365076814357,NO,NO,NO,NO
12,1.999993454751471,1.9999998903804392,0.7076660787342879,1.9998959300014185,1.9999628473009659,1.9999614687566363,1.048695593668299,1.9448024730905955,0.2325241060255784,48.284150187504146,3005007.1946255835,0.5520032264228348,NO,NO,NO,NO
13,1.9999997916846357,1.999992785151392,0.38669096433807204,1.999934649813181,1.9999450400271246,1.9997634680526388,1.031102621497407,1.9832813126827813,1.2163815830712392,252.64864751646394,1642030.2807377018,0.5507727953041027,NO,NO,NO,NO
14,1.9999388890127348,1.9999502072407926,1.5737034360737152,1.9998974145267023,1.9999662560272558,1.9999168001935268,1.6146224568481466,1.9997276253647627,0.6410762671134456,133.13478945946304,6682516.3586569745,0.5551592064773507,NO,NO,NO,NO
15,1.9998683207606627,1.9999496959201664,1.1284934958104864,1.9999301545946615,1.9999729136653681,1.9999843522654766,1.8472576463934534,1.9964639595865823,0.34303408978183125,71.23366508175212,4791993.252049004,0.5535510274213791,NO,NO,NO,NO
16,1.9999288175301562,1.999881304117278,1.0824645991528794,1.9999875759321397,1.9999455170432598,1.999987496908741,1.032838592989378,1.9458286812549268,1.2476607551597736,259.14760632890915,4596537.839145538,0.5533820126741639,NO,NO,NO,NO
17,1.9999640469533182,1.9998474292789983,1.0913256782378757,1.9999461392626983,1.999957351826189,1.9999944828403073,1.0493358823403434,1.9297025403067893,0.25244876501735175,52.42188721787748,4634165.199284356,0.5534554315118985,NO,NO,NO,NO
18,1.9998841818496698,1.999981393377744,0.45007723958150747,1.999924711896179,1.9999726279162955,1.9999816951969056,1.7973895775047868,1.9993396744476681,0.1353332430388582,28.10172976335725,1911191.4273164964,0.5510224665234904,NO,NO,NO,NO
19,1.99998605101457,1.999904854250224,1.7110839526644006,1.999806175459939,1.9999655483127683,1.9998008038245725,1.5429204042342979,1.9566182458780028,0.20156167590689378,41.85420880588774,7265883.928704653,0.5556937208907702,NO,NO,NO,NO
20,1.9999829563932416,1.9998902834197172,1.2479434804808573,1.9999285733781067,1.9998181204917682,1.999996621529691,1.343444686247943,1.9057520083152175,0.31652426691409785,65.7283925450233,5299221.271193829,0.5539866913479672,NO,NO,NO,NO
21,1.9999102489124234,1.9999863540891973,0.13033618473902864,1.9999961941395656,1.9999993716703708,1.9998858932194352,1.8868445646020413,1.996121278814227,1.099390519349905,228.34182488443224,553454.778504213,0.5497922137897361,NO,NO,NO,NO
22,1.9999361621284186,1.999959669208787,0.14652444926368116,1.9999304843828272,1.999989704856474,1.9999141961154034,1.0401920461353666,1.815661331857008,0.29155788178371056,60.543644605201415,622196.029253563,0.5498275932154484,NO,NO,NO,NO
23,1.9999928843903487,1.9999612101781892,1.6850897540930965,1.9999941451022374,1.9999748608131067,1.999985996511934,1.1527172937025951,1.920492936712463,0.15114079376543077,31.38414219037004,7155503.120477974,0.555600901502603,NO,NO,NO,NO
24,1.9999809682106833,1.999964078642127,1.4560479440206475,1.9999636681986386,1.9999540195094605,1.999985904833006,1.8012784026603177,1.9488979787668594,1.9078200600051303,396.3356734645661,6182908.406924938,0.5547544464394965,NO,NO,NO,NO
25,1.9999997916846357,1.999992785151392,0.4303756536523675,1.999934649813181,1.9999450400271246,1.9997634680526388,1.031102621497407,1.9831481131954427,1.548241823683938,321.60556872391874,1827531.3378453597,0.5508946600051395,NO,NO,NO,NO
26,1.9999795867527912,1.9996097917331883,1.6553812171294509,1.9999740310287664,1.9999541621969612,1.9998978486180237,1.8011274791882985,1.9979232556470419,1.911542349327124,397.10938372511026,7029349.882389711,0.5554979987885147,NO,NO,NO,NO
27,1.999997548184589,1.9999994247589663,0.47891084443205734,1.9999157801862852,1.9999628581357511,1.9999753123714008,1.7973895775047868,1.9993396744476681,0.1353332430388582,28.10172976335725,2033629.3858772132,0.5511543411956545,NO,NO,NO,NO
28,1.999961707728338,1.9999529771868492,0.11947042926580755,1.9999357119167358,1.9999964552956808,1.999885544515824,1.884211683994154,1.9969342101798466,1.1629734532034561,241.55187400106428,507314.834322528,0.5497491912418943,NO,NO,NO,NO
29,1.99999214558997,1.9999849808146193,1.9909591219663296,1.9999157174278916,1.9999443218439994,1.99997449462783,1.1294389385125316,1.9602655614384576,1.1294420014263444,234.585085087683,8454335.548222132,0.5566373664465022,NO,NO,NO,NO
30,1.9999829563932416,1.9998606084122188,1.2479434804808573,1.9999285733781067,1.999999592066453,1.999996621529691,1.1674388653533831,1.711337997630958,1.1961365683331682,248.44227001701813,5299221.271193829,0.5539900885288193,NO,NO,NO,NO
31,1.999598880855701,1.9999999040897098,1.3399654013322853,1.9998959300014185,1.999933715386943,1.9999932064471062,1.4393376206037718,1.9688024151388894,0.14531959110884707,30.175378842357528,5689979.769490648,0.5543143542974261,NO,NO,NO,NO
32,1.9998925842769357,1.9998679861140565,1.158985578834817,1.9999784215640153,1.9999621061389892,1.9999859835906855,1.8021459688246133,1.969555575984043,1.7748520131896777,368.6999180301169,4921473.711294865,0.5536724478260682,NO,NO,NO,NO
33,1.9996578568043935,1.999940582881392,1.8506871144815065,1.9998157767676787,1.9999980704815863,1.999984805409541,1.7973895775047868,1.9985652223873456,0.40369998278244784,83.83261494190864,7858689.657648455,0.5561467507283313,NO,NO,NO,NO
34,1.9999559385442416,1.9998848907403233,1.7243289421889751,1.999984117626707,1.9999528095896353,1.9999027145383674,1.6044203916426967,1.9546500623864433,1.957018635975151,406.561909087728,7322126.96480619,0.5557105245054952,NO,NO,NO,NO
35,1.9999745735414647,1.9996174398097493,1.3488369359657217,1.9999764619879052,1.9999541621969612,1.9999852936567302,1.8011274791882985,1.9694625500693648,0.1506155160010929,31.275069109339356,5727651.527685598,0.5543995947195357,NO,NO,NO,NO
