Solution_ID,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,electrolyser,battery_storage,thermal_storage,hydrogen_storage,Cost,Emissions_kg,Resilience,Knee_Cost_Emissions,Knee_Cost_Resilience,Knee_Emissions_Resilience,Ideal_Distance
0,1.999998857723088,1.9999648055831425,1.9999729938798494,1.9999955024254408,1.9999979985855731,1.9947563079724577,1.9607208053210388,1.9768197269200016,0.1018388375111956,21.146670447647182,8492611.722205218,0.5566633330317021,NO,NO,NO,NO
1,1.9999962204028638,1.9999944469885949,1.9999729938798494,1.9999882741042159,1.9999922011550835,1.9999993666068043,1.9573564535463033,1.994438612316935,0.12687801181804154,26.346014629967105,8492611.722205218,0.5567064315405335,NO,NO,NO,NO
2,1.999985251381822,1.9999668386332936,0.23032019664701042,1.9998514119635409,1.9999721815259321,1.9993754265613082,1.956177687857568,1.9412144008125678,1.9855354851094646,412.4893686468014,978023.2072586286,0.5501651365132895,YES,YES,NO,NO
3,1.999989789009249,1.9991198551896545,0.2411075180077239,1.9989620117868152,1.9999819002699577,1.9999896352022166,1.9930016552077094,1.9536562031048395,0.10000000001925748,20.764838806604324,1023830.0917113362,0.5502074900112499,NO,NO,NO,NO
4,1.9998906095831162,1.9991333002572,0.10000000000360312,1.9999980721520516,1.9993425097500694,1.9991117578357518,1.7453084367452987,1.8629191755879746,0.10046826730715586,20.862073754101733,424636.3200153001,0.5496480634279838,NO,NO,NO,NO
5,1.999978660216847,1.9999975329435418,1.0576051042675654,1.9999980585798287,1.9999951184652198,1.999999791621798,1.9934523718377168,1.9563967355835004,1.1072933586837126,229.98365412361758,4490975.394893953,0.5533005883895254,NO,NO,NO,NO
6,1.9999806525250259,1.9999946218509586,1.550700473378253,1.9999876636640865,1.9998622388528071,1.999898235089999,1.758471291179734,1.9657663303302295,1.782325781799106,370.25323922746566,6584837.424375993,0.5550945349080453,NO,NO,NO,NO
7,1.9999992750154685,1.999995937721213,1.1472100959378895,1.9808460763566162,1.9999913947272967,1.9999969784453027,1.6027641275038431,1.8273642304900048,0.18565639262074995,38.55125065443102,4871470.734059124,0.5535401793549023,NO,NO,NO,YES
8,1.999980609366704,1.9999658088858705,1.3595981021972505,1.9998965397169401,1.9998944238633125,1.9999728872254534,1.9376883911907306,1.9653492751860189,1.5702747840335636,326.1843243238093,5773347.347960245,0.554408336388625,NO,NO,NO,NO
9,1.9999375136278994,1.9999998123130385,0.33424291739646494,1.9996027482458647,1.9998678943337924,1.9999928906331388,1.7587326845814049,1.994602785888228,0.8044114325943015,167.06221919278744,1419316.8242929887,0.5505718239672247,NO,NO,NO,NO
10,1.999978660216847,1.9999828167655227,1.0130958525572888,1.9999953676533744,1.99999511354913,1.9999897786509606,1.9479983561872602,1.9888262829069079,0.5471437649142967,113.62444311231724,4301972.946371899,0.5531271189200324,NO,NO,NO,NO
11,1.9999938723673032,1.9999402785414795,0.7123266477117277,1.999946730380752,1.999928520755358,1.999232211189327,1.9949479426272245,1.9916158122474523,1.655001956974193,343.7919187789298,3024797.6632224456,0.5520248947496701,NO,NO,NO,NO
12,1.9999606457485175,1.9999652941551829,1.397047095672229,1.9999944991549747,1.9999964670878922,1.999999730321546,1.8086629045611766,1.9965255645171893,1.8533713251981987,385.0190066877212,5932369.375729433,0.5545421896677742,NO,NO,NO,NO
13,1.999999995639861,1.9999684542094285,0.9415807487697264,1.999931641155857,1.9994510331371418,1.9999963969626025,1.7920004944793946,1.9967797557292062,0.332313257320588,69.00727884056084,3998293.8414042117,0.5528560835675396,NO,NO,NO,NO
14,1.9999808308355616,1.9999699622658922,0.9702277075894054,1.9999829080733804,1.9998968162313266,1.9999998794639522,1.9507320436822528,1.9653492751860189,1.2279263240533351,255.04732345495458,4119939.2331280108,0.552971066061831,NO,NO,NO,NO
15,1.9999825012615706,1.9999979342459955,0.6223630119029516,1.9999874427466016,1.9997623437443577,1.9993018860500593,1.463810305928778,1.9935241986533732,1.0525358329646564,218.60767591085846,2642779.3907858557,0.5516803689589471,NO,NO,NO,NO
16,1.9999785719421828,1.9999829337680024,0.9940042505548421,1.9999966665232314,1.9999664880287278,1.9999855584040411,1.4171278320441556,1.9882518458076954,1.1590325338488965,240.73305315004606,4220903.07019966,0.5530621072833205,NO,NO,NO,NO
17,1.9998936450051512,1.999931029802206,1.207801620391318,1.9971907858655256,1.9999841761139705,1.9999956048342216,1.9317365664487298,1.9955879309992257,0.4043821297280201,83.97428992540887,5128764.353730065,0.5538349692713469,NO,NO,NO,NO
18,1.999980609366704,1.9999643624009684,1.2962983341200383,1.9998965397169401,1.9997627259828183,1.99997195862843,1.5435126039540783,1.9653492751860189,1.0380085960181205,215.58959006958958,5504553.5422286345,0.5541699490368298,NO,NO,NO,NO
19,1.9999870460426947,1.9999846263039391,0.8604444260990329,1.999987318269638,1.9999966512811551,1.9994720086710112,1.8101395014292379,1.988326509344701,0.7039464913782049,146.19361268695283,3653759.546632052,0.5525705677089917,NO,NO,NO,NO
20,1.9994193603854336,1.9999598964579575,1.7811891042967876,1.9999356916760893,1.9999304227765986,1.9997301404143224,1.9990781133188662,1.9600683004768573,1.8805820697553788,390.6743855881697,7563575.864726841,0.5559100279586687,NO,NO,NO,NO
21,1.999978660216847,1.9996738963493799,1.374297579813682,1.9999918777422647,1.9999956871573366,1.9999995616018795,1.9882078563369747,1.9887706825278817,1.3602791554871203,282.54738711791725,5835766.668769884,0.5544548316349047,NO,NO,NO,NO
22,1.9998572363590945,1.9999598964579575,1.8756986444988406,1.9999356916760893,1.9999913253572583,1.9997301404143224,1.6892560436802755,1.9600683004768573,1.9256194521209915,400.0354142755995,7964897.69828976,0.5562422151627404,NO,NO,NO,NO
23,1.999987794632878,1.9999660816255596,1.9236667507248064,1.9999976454638777,1.9999933103470038,1.9940915624887376,1.7190592242264546,1.9996694666026098,0.6541528406693085,135.85100240362095,8168587.69934139,0.5563957347429316,NO,NO,NO,NO
24,1.9999985863208765,1.9933812865285232,1.7465759621732893,1.997020301893577,1.9999862065463567,1.999994246421376,1.8550005430718233,1.992546026089165,1.2558959883498517,260.8586653259047,7416595.891777247,0.5557430168091394,NO,NO,NO,NO
25,1.999998420289011,1.999992847943187,1.501445590389115,1.9998064254233237,1.9999617121018514,1.9999724073569478,1.9308398513493157,1.9911599634970363,1.6919312532059902,351.4663125874401,6375683.301830611,0.5549203433792265,NO,NO,NO,NO
26,1.999998096714179,1.9999987488237974,0.30363849509964647,1.9999953746026302,1.999981899402599,1.9999928216601466,1.9858390883074781,1.9924700765005312,0.9736985789428463,202.22903913502003,1289359.3316945196,0.5504556239629008,NO,NO,NO,NO
27,1.999999766896065,1.999034767699589,0.25169193395466793,1.9997576579171559,1.9998715243224414,1.999995804332568,1.998205504541404,1.9668424458082123,1.4616986572414992,303.62173099431544,1068775.3660819323,0.5502454516442016,NO,NO,NO,NO
28,1.9999938660520713,1.9999919702470887,0.76365946836957,1.9999968748041042,1.9999966045074784,1.999997358363717,1.9529842628996221,1.9988017657156898,1.5968489681940663,331.7068255507534,3242775.4638161054,0.5521739617467302,NO,NO,NO,NO
29,1.9999998697039953,1.9992135691969861,0.848257439335663,1.9999976674697837,1.9999917299457923,1.999778883569176,1.9901206047275681,1.9606058865659755,1.4503621295590599,301.266082778739,3602009.1745211924,0.5525529645545995,NO,NO,NO,NO
30,1.999998420289011,1.999992847943187,1.5019393908099339,1.999971064452932,1.9999617121018514,1.9673451574647163,1.9308398513493157,1.9898691481530173,1.6130126327170964,335.06818372480063,6377780.157765719,0.5548945341560729,NO,NO,NO,NO
31,1.9999828267451623,1.9999616252492476,1.652769289106794,1.999995259496428,1.9999968909457042,1.9999941082158863,1.9811632386286147,1.9720638875240506,1.747735614956607,363.06417078503637,7018258.6873532515,0.5554416140277049,NO,NO,NO,NO
32,1.9999787239971933,1.9999992346626454,1.5794389029203404,1.9999687401620512,1.9999951184652198,1.9999999796046355,1.9934523718377168,1.9957425154184685,1.0959170701954422,227.6202046633565,6706871.234009307,0.5551942190224125,NO,NO,NO,NO
33,1.9999951238691929,1.9999919702470887,0.7669056933663937,1.9999968748041042,1.9999966045074784,1.9999948530631428,1.9974582210824783,1.9992056464538586,1.5906300955776924,330.41445331795524,3256560.114181538,0.5522337087012003,NO,NO,NO,NO
34,1.9999985080951028,1.9974446235575696,1.3188468250608225,1.9999697413114823,1.9999983482612353,1.9999994753483539,1.5971168095109596,1.9969633837222522,1.133494898444639,235.427082798153,5600302.624375113,0.5542401724998497,NO,NO,NO,NO
35,1.9999864590751197,1.999990896394751,1.687156381592238,1.99983670868818,1.9981796588906697,1.999967942327206,1.9600024817172084,1.6801904113536787,0.9696063474325007,201.37886959259157,7164278.771438436,0.5555748269849115,NO,NO,NO,NO
36,1.9999894454260045,1.9999946603494578,1.1694735389223392,1.9999880792294384,1.9999912451565154,1.999999909657331,1.9200830753536084,1.8406279998434916,0.47854447133738853,99.37706098761502,4966009.3990535885,0.5537023528801773,NO,NO,NO,NO
37,1.9999851031834277,1.9999983176753369,1.223380234034612,1.9999909781191794,1.9999815850913827,1.999988274263698,1.9395875522385018,1.991518343836606,1.3094764452573557,271.9912389535777,5194916.805411965,0.5539058155734259,NO,NO,NO,NO
38,1.9999965008754717,1.999093331586707,0.11063765241423493,1.9999993574141275,1.9999462222065223,1.9999870176281214,1.9483583348821967,1.9493107152024056,0.9825943986082304,204.0771657984516,469807.6557461985,0.5497085119433991,NO,NO,NO,NO
39,1.9999941101499146,1.999985468182766,0.6942853293739488,1.9999899806578127,1.941286376355478,1.9993746359602482,1.9752710150972554,1.9914628687678875,0.6222108635441619,129.21624977241294,2948187.6729534157,0.551846284879323,NO,NO,NO,NO
40,1.9999387344835486,1.9991333002572,1.2078610759070805,1.9999980721520516,1.9998670326679824,1.9991114313216987,1.7475372889761078,1.949202934371002,0.8825020978766399,183.2841250829179,5129016.823444232,0.5538389091026039,NO,NO,NO,NO
41,1.9999952007545883,1.9999763731469924,0.9103757068367653,1.9999818065326218,1.999999828028264,1.9999961392799093,1.976684433680015,1.9933820991768856,0.8747410014007683,181.67188371141395,3865785.8996856287,0.5527450167746863,NO,NO,NO,NO
42,1.999978660216847,1.9999748084655509,0.5349300091384545,1.9999883330810861,1.9999412594533097,1.9999957210152188,1.9633802545005332,1.9721412903334108,0.9494381734755033,197.18888538843345,2271507.1053811973,0.5513490156917887,NO,NO,NO,NO
43,1.9999787099787236,1.9999933931038383,0.19546482323427672,1.9998350347663698,1.9999994091388094,1.999964657050051,1.1427125042067339,1.9872561474042922,0.27604579050023414,57.32226161771689,830014.6322765374,0.5499678716596639,NO,NO,NO,NO
44,1.9999991520290947,1.999983909491394,1.3332571280686905,1.99985870686595,1.9999270026288567,1.999369430697761,1.760004235002057,1.827072332652661,0.19687629936005557,40.88120146643947,5661494.004768573,0.5542939234468592,NO,NO,NO,NO
45,1.9999998697039953,1.9991832150160016,1.7166449012379954,1.9999976674697837,1.999983254708684,1.9975611379109488,1.6431213888369869,1.9606058865659755,1.4503621295590599,301.26620496295544,7289497.736084659,0.5556721881173137,NO,NO,NO,NO
46,1.9996737604887969,1.9999983176753369,0.5168374832312365,1.9999951135578906,1.9999855108887576,1.9999996322612088,1.9395875522385018,1.988159930442729,1.3094764452573557,271.9912384842761,2194679.6691737394,0.5512786859200431,NO,NO,NO,NO
47,1.9999847994897453,1.9999648015923828,0.27613142743212304,1.9996766600425053,1.997906432862909,1.9999680272995604,1.9743354768973693,1.9389570061647392,0.1464702740485331,30.414316299912436,1172554.331811238,0.5503619916184724,NO,NO,NO,NO
48,1.9999941151181162,1.9998441842369163,1.935772712392429,1.9999909656924428,1.9999970832210896,1.9999877070047676,1.9348937231482106,1.9510668780950795,1.2034893164526492,249.9699730724154,8219994.009467397,0.5564480991540955,NO,NO,NO,NO
49,1.9999787099787236,1.9999933931038383,0.19546482323427672,1.999986880969341,1.9999994091388094,1.999964483416147,1.9001981073773269,1.9872561474042922,0.27604579050023414,57.32226161805848,830014.6322765374,0.550048607244168,NO,NO,NO,NO
50,1.999994395229272,1.99999940433148,0.8749823421622482,1.9999953403677984,1.9999915169213858,1.9999535799807537,1.9947348715832312,1.999527045760377,0.5909976370029687,122.73292196023736,3715492.8184075784,0.5526589097365705,NO,NO,YES,NO
51,1.9999845473290365,1.9999402785414795,0.47455202933438206,1.9999468190528258,1.999928520755358,1.999227824944284,1.994956398887073,1.9569459809724847,1.655001956974193,343.7919190896397,2015120.273850841,0.5511146069813971,NO,NO,NO,NO
52,1.9999941151181162,1.9933812865285232,0.4082433990087336,1.9999909656924428,1.9999970832210896,1.9999983655086762,1.9348937231482106,1.9494180141180437,1.2558959883498517,260.858665155708,1733549.7461936034,0.5508245529491336,NO,NO,NO,NO
53,1.9998950167861727,1.9999652299058277,1.956214664123559,1.9971207130356023,1.9999841761139705,1.9999915597733409,1.8250954895572276,1.9955879309992257,1.9017409113476806,395.07208441326304,8306797.961034641,0.5565143809942305,NO,NO,NO,NO
54,1.9999938204033287,1.9999985832086038,1.4653707757306624,1.999751437886023,1.9999250328775422,1.9998810883306468,1.9552056000451876,1.9919842963808065,1.3491949928758644,280.2441733756306,6222496.536418137,0.5548219974621198,NO,NO,NO,NO
55,1.9999985783158734,1.9999842751690757,1.6373499066607908,1.999801358692916,1.9999824136412092,1.999910768065297,1.9296449517419567,1.9911466957019017,0.4447764017620375,92.36377371222068,6952782.389167816,0.5553962600482789,NO,NO,NO,NO
56,1.9999787099787236,1.9999933931038383,0.1572758469548462,1.9998379098853403,1.999999427815955,1.9999647304920607,1.9897348926143184,1.9497551403118345,0.31119560982791555,64.62179489370007,667850.3687578912,0.5498969909783671,NO,NO,NO,NO
57,1.9999361217192626,1.9999649647545337,1.8508540463766372,1.9999633935255687,1.9998760545926397,1.9999680272995604,1.9712129840254013,1.9855459172984713,0.12053654707468364,25.029219698284752,7859398.511104848,0.5561479942469993,NO,NO,NO,NO
58,1.999889800201854,1.9999909468059722,1.565635262064069,1.9999992570781893,1.9999849695495577,1.999996162673323,1.4162063187328648,1.9981203524290956,0.15496682989338018,32.178612424868284,6648255.961451219,0.5551366189223236,NO,NO,NO,NO
59,1.9999866750029416,1.9999627397707775,0.38350660607150966,1.9997320498823459,1.9999960081276793,1.9999505262289452,1.1045493240783077,1.9970627931080362,1.9777123852725662,410.863226984841,1628508.338978956,0.5507606764643616,NO,NO,NO,NO
60,1.9999985783158734,1.9999842751690757,1.6378437070816099,1.999966037266095,1.99998200177661,1.999909996193206,1.9296449517419567,1.9898558803578827,0.3658154649141186,75.96465415015759,6954879.245102929,0.5553876119180203,NO,NO,NO,NO
61,1.999996106683702,1.999986092849553,0.45043742073328336,1.991366784202142,1.942172456445579,1.9993702497152053,1.9571629535415607,1.9570600207754116,0.6040645160234464,125.44705936888784,1912720.8873047312,0.5508805395561278,NO,NO,NO,NO
62,1.9999778408222386,1.9999012239572809,1.6672880316616805,1.997020301893577,1.9999862065463567,1.999999935194257,1.9954078804953574,1.992546026089165,1.2558959883498517,260.8586650908503,7079910.541448593,0.5554964144270701,NO,NO,NO,NO
63,1.999977010293002,1.9999989186647107,0.3803664177288961,1.9996027482458647,1.9993433593321854,1.9999799311262587,1.7591616667743983,1.994602785888228,0.10564741977669706,21.93751641574297,1615173.9587598115,0.5507564111276392,NO,NO,NO,NO
64,1.999978660216847,1.999983200143728,0.5385275808637096,1.9999862607153622,1.9999956871573366,1.9956460841745527,1.9882078563369747,1.9889457517119766,1.4125652530431596,293.4123538691894,2286783.70156468,0.5513552275150633,NO,NO,NO,NO
65,1.999989213298273,1.9999768085665763,0.8122855696229929,1.9998374506774248,1.9999992237387922,1.9999956516398196,1.984875152173335,1.9840783371077295,0.47208786342302367,98.03608860613957,3449259.550738115,0.5523722948060137,NO,NO,NO,NO
66,1.999995081583491,1.9999945701352162,1.972566601988785,1.999982179014198,1.9990982826026584,1.9998984599355674,1.999067706716359,1.9517356841948033,0.11322191080350064,23.51034726757673,8376234.228234225,0.5566089280706092,NO,NO,NO,NO
67,1.9999951238691929,1.9999993404821397,0.8132540397649817,1.9999968748041042,1.9999966045074784,1.9975841023718288,1.9976841676080834,1.9936291326642257,1.5906300955776924,330.41462408915083,3453372.026709356,0.5523824704937683,NO,NO,NO,NO
68,1.9999412657865627,1.999999411355979,1.4276744024075325,1.999980832649001,1.9999983295948898,1.9999732065189313,1.9017013181498477,1.9973699958726523,1.937126135488451,402.4271228800205,6062424.043965336,0.5546532041316532,NO,NO,NO,NO
69,1.9999824208050203,1.9999979342459955,0.5733141600091021,1.989562627182005,1.9992210451669035,1.999924231028341,1.9930538857062063,1.9143901557742475,1.0525358329646564,218.60765754383277,2434500.151101564,0.5514548856791575,NO,NO,NO,NO
70,1.9999412433812926,1.9999702869940144,0.5512689054763737,1.9964164706986895,1.9999951885639695,1.9999881065713971,1.755450465064868,1.9999693649771382,0.7804028371437365,162.07487850574068,2340887.993519152,0.5513980757625112,NO,NO,NO,NO
71,1.999992866393237,1.9999944235350617,0.22583329382267578,1.9986378347881415,1.9999973583203239,1.999986917145129,1.9194069653316994,1.996874225560267,1.8806954587578733,390.69792909540746,958970.1882233977,0.5501631928950392,NO,NO,NO,NO
72,1.9999973072025379,1.9999654262600104,0.6441183218581912,1.9999657615422346,1.9999921828805538,1.9999680272995604,1.9562185427157055,1.9593823633043517,0.12687801181804154,26.346014629967105,2735160.3383843782,0.5517858702573466,NO,NO,NO,NO
73,1.9999988562088176,1.9933812865285232,1.8034555553668898,1.9969926431524305,1.9999862065463567,1.999997470797809,1.8103704546907444,1.9968124575315536,0.10547432321782135,21.901573194319813,7658127.303145527,0.5559425937573688,NO,NO,NO,NO
74,1.999978669741823,1.9999999909266972,0.13622322085116112,1.9999991152539278,1.99999959656454,1.999964483416147,1.8985157721639112,1.9659993924325105,0.2935722397960775,60.96196453245196,578453.2720078434,0.5498148449907871,NO,NO,NO,NO
75,1.999984785112262,1.999985468182766,0.45651071099468643,1.9999900709448508,1.941286376355478,1.9993702497152053,1.9752798877235709,1.9567940388728646,0.6222108635441619,129.21624982418925,1938510.283573672,0.5509345430030247,NO,NO,NO,NO
76,1.9999409544166245,1.9999993500187858,1.4139825852868853,1.9999976674697837,1.999983254708684,1.997627474547809,1.9307365408250083,1.9584280621331105,0.7969081719139346,165.5036023739264,6004283.615603092,0.5545922479784995,NO,NO,NO,NO
77,1.9999993942155756,1.9999854050093189,1.6057578360826135,1.9999404861526047,1.9999664880287278,1.9954769798874814,1.4043230255744295,1.966893794203056,1.0626301426523734,220.70490427676867,6818630.983252839,0.5552763705917048,NO,NO,NO,NO
78,1.9999825012615706,1.999998941691081,0.45738430424992566,1.9999874427466016,1.9998940416243776,1.9992992473447644,1.8578682053647224,1.9935241986533732,1.6064587649349058,333.7039308912298,1942219.877824488,0.5510501429846585,NO,NO,NO,NO
79,1.9999824208050203,1.9999979342459955,0.5733141600091021,1.9999874427466016,1.9997623437443577,1.9999239742292108,1.463810305928778,1.9935208641591744,1.0525358329646564,218.60765755141168,2434500.151101564,0.5514939966518139,NO,NO,NO,NO
