Solution_ID,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,electrolyser,battery_storage,thermal_storage,hydrogen_storage,Cost,Emissions_kg,Resilience,Knee_Cost_Emissions,Knee_Cost_Resilience,Knee_Emissions_Resilience,Ideal_Distance
0,0.21709931769419355,4.987903597748713,1.677513361245871e-09,0.003840075279934886,0.21472582299937004,6.832520657101349e-05,0.04656389419604998,2.9923746257161916,2.6221162971050004e-14,0.0,0.0,0.616019129472087,YES,NO,NO,NO
1,1.0041714861061122,4.996204250034288,5.960302643945724e-07,0.00036107510191020096,0.05375484689001342,0.005233200165736418,0.296981122745656,4.854688618421034,2.7405885075924337,928.5975225316356,29123.302230460915,0.6260454035063582,NO,YES,NO,NO
2,0.05271227539720491,4.990211565459721,0.0485027443721905,4.439233760958946e-05,0.09387203268855292,0.007236744982988352,0.23208824692716826,4.7920560414012225,0.08571705155576256,61.63004898304968,218670.31527502928,0.6355534844643171,NO,NO,NO,NO
3,2.3078488218998006,4.999548035370843,0.08865270453588778,0.0009200995435798263,0.17275062123710844,0.00010769772747437146,0.0468060301434427,4.954142785230431,0.004797350975658532,1.020293498261394,376451.582121667,0.6352845376807632,NO,NO,YES,NO
4,0.24995079169580361,4.997216380490208,0.009065091152082087,0.0005666797775227476,0.07001585104806604,0.004005693656783153,0.14339466637091408,4.198078156465454,2.1879487112310363,747.5544906886255,58962.33508932046,0.6288036402937489,NO,NO,NO,NO
5,0.7695585381692011,4.9961428343981735,2.984206267399674e-08,0.0005015917638801375,0.04144427140395412,0.004060153540055598,3.142339512102068,2.6483040615995996,1.9846381668207542,629.521660133356,14532.27749039812,0.6238961984305404,NO,NO,NO,NO
6,0.5583902885514969,4.996721584057321,3.2188793275364665e-06,0.00036208256918293885,0.0387367317775435,0.003905626259336938,3.869359699711754,0.3105022034493481,1.974379991003223,586.0046074549352,13.668530721691601,0.6215481790850725,NO,NO,NO,NO
7,0.20243534885767245,4.986867913901547,5.978163061896033e-07,0.04853385661536519,0.11385099898023697,0.005214903834613386,4.410647333420453,2.6761606711106936,8.292052656731762e-14,0.0,2.538545162963464,0.6174087113470483,NO,NO,NO,NO
8,0.6601842675450899,4.99686806573496,2.2519154134088417e-07,0.00020187759912538997,0.03996875093286639,0.004207483039265903,3.3186116858678063,2.0590125807995046,0.8364834066928539,231.16465329740893,10530.745525498152,0.6232827715375322,NO,NO,NO,NO
9,0.5476154274794899,4.990174707619024,0.010617860174445583,0.010128696112503765,0.0700513285324337,0.004841454130457866,0.005314300918331766,4.854203792785922,1.0619365249565695,330.7510305156491,68327.97754169222,0.6296374225023051,NO,NO,NO,NO
10,0.20716423684629287,4.998818555310577,0.07750421543587963,0.04852098540917759,0.14257246339154298,0.005626280241882893,0.7076101605357084,4.533832256252658,8.292052656731762e-14,0.0,329111.0482717913,0.6339223814487873,NO,NO,NO,NO
