Solution_ID,pv,gas_boiler,gas_chp,heat_pump_air,heat_pump_ground,electrolyser,battery_storage,thermal_storage,hydrogen_storage,Cost,Emissions_kg,Resilience,Knee_Cost_Emissions,Knee_Cost_Resilience,Knee_Emissions_Resilience,Ideal_Distance
0,2.8496929351295095,4.993499691583253,0.01283181764856276,0.00012485755625144825,0.0689326012659598,0.0021835114919705233,1.1835051735251194,3.936721634329544,1.1981125806729478,433.2178862002304,72344.10251999347,0.6299504096781794,NO,YES,NO,NO
1,3.5228819428495584,4.999784959870443,0.08042416150186253,0.00039803093282488625,0.1603423341309432,0.000445515002225559,2.2331017564989666,4.496521734783709,4.689637250499728e-10,9.737956154932107e-08,341510.1997923657,0.635162921714395,NO,NO,YES,NO
2,3.125275967169655,4.993743159033594,5.0731793363803375e-09,0.0009416112306862411,0.06030449514375949,0.0026904710919652764,2.7904302796998905,0.8717089960963227,4.1103730126543396e-13,0.0,0.021542562041005894,0.6209035444588689,NO,NO,NO,NO
3,3.536258896922165,4.9997749815918775,4.541466692673171e-10,0.019336891009195733,0.2741060908246332,0.002692041965334575,3.0875769123967136,3.819913151217478,5.19053391592148e-08,1.077806000635657e-05,0.0,0.6138521263769599,NO,NO,NO,NO
4,3.6117617359977183,4.9965953805269345,0.05208651389231768,0.017769614063669975,0.09097710802872555,0.0034217370963152667,2.227006566409195,4.969410726844757,0.0002812672049137488,36.31689405367712,231719.19825440025,0.635699393411352,NO,NO,NO,NO
5,3.5219161605452323,4.999786036095651,3.025644129014231e-10,0.0035057098097665412,0.25360907899319396,0.0012600912638156235,4.410443446620889,3.6850259941201653,0.09848583111900902,21.342476369770964,0.0,0.6150497121337455,NO,NO,NO,NO
6,3.6348682305429523,4.997479746098714,0.00032232125384869985,0.0005559418133534873,0.07158532960010237,0.008086272699460861,2.085597389373693,4.445919535331981,1.3079672510464144,381.168302079131,25604.791547177345,0.6253539948214084,NO,NO,NO,NO
7,3.1012610074683593,4.99724777804002,0.02900568116225053,0.00014029797989359351,0.0713416724771489,0.0023896790159531806,2.0473482787602637,4.967707456133085,0.9048919708673231,312.21261472764746,144191.4823452887,0.6337488831313703,NO,NO,NO,NO
8,3.4480782985196887,4.993499691583253,0.012909173064197737,0.00012485755625144825,0.06893328899985768,0.0021835114919705233,2.21166195358061,3.936721634329544,1.1981125806729478,433.1525167816769,72653.57773931739,0.6299441487807411,YES,NO,NO,NO
9,3.120743899007635,4.99724777804002,0.008844518884167204,0.00014029797989359351,0.0713416724771489,0.0023896790159531806,2.0473482787602637,4.967707456133085,1.0091944182159003,366.8123783633754,63539.673718507474,0.629008288110479,NO,NO,NO,NO
10,3.4657647337488577,4.997406636787645,0.028374643737329765,0.006527968498234641,0.07962710366193229,0.006448846587314693,3.846749511435069,4.540191577187011,0.9016942918688072,258.43149289438156,136727.77920593257,0.6331678694173373,NO,NO,NO,NO
11,3.7710357140112603,4.999013861727103,0.07584399934816569,0.0010220444707982476,0.1754341891795525,0.00044571235104294896,2.924028635209643,4.2585925627406835,2.354734472477919e-10,4.8895681743942404e-08,322061.16777287476,0.6351236197517101,NO,NO,NO,NO
12,3.5387714491246474,4.999716135833237,0.07064011007963014,0.0006778666942054648,0.17720330075552512,0.0004896349466997712,4.0467127828285445,3.77456839531596,8.104547530442287e-09,1.68289623037688e-06,299963.56388609053,0.6349355681232255,NO,NO,NO,NO
13,2.730829603920131,4.999949127277453,0.009262331626850319,2.074340532623334e-05,0.07126269603787655,0.006524449702179863,1.945523978655198,4.856776485028438,0.6370150203344849,225.9605343607139,64439.808385717406,0.6289180097050555,NO,NO,NO,NO
14,2.58973674702547,4.999717659970596,0.0656119820790073,0.002528536517758695,0.15216541339443843,0.0026820764300129105,2.21828229167951,4.719004975447945,0.0182550577025044,9.72833517756883,280334.5715399301,0.6349800560594305,NO,NO,NO,NO
15,2.798517667862533,4.999227115870305,2.8917287099417715e-08,0.0005930615584728441,0.041316675852463326,0.0024099829809234776,2.906629889709677,1.0853552483508344,0.5353026159833638,138.4039563636053,3414.6013218209428,0.6221526668432189,NO,NO,NO,NO
16,3.4657647337488577,4.999959561608072,0.029091233710043466,0.0063615764806487125,0.07804470590339058,0.0063807731142779475,1.9159137976623142,4.753297898774611,0.9755776458009606,282.0593081965915,141306.80755372983,0.6334219558361525,NO,NO,NO,NO
17,3.4768095618026686,4.999926534152493,0.07841440228380529,0.00047018998812387486,0.16024688807273899,0.0004051316614233208,2.3413768487530446,4.893064353851221,0.001074716715710388,0.22346508678616062,332976.03220794664,0.6352095195880725,NO,NO,NO,NO
18,3.1249761674391294,4.99724777804002,0.0037413817310303875,0.00025648999386148485,0.07105869850871764,0.0026425761238462854,2.21166195358061,4.967707456133085,0.36434118125215675,175.48699217712266,43136.24946808128,0.6277522970339142,NO,NO,NO,NO
19,2.817190005396361,4.997284209018798,0.008243624615317899,0.00044653363179764625,0.07806882230784448,0.006363705199638577,1.3517458845864887,4.752630448433324,0.9663519005456065,300.7098285304464,58850.027517894836,0.6284138679075915,NO,NO,NO,NO
20,3.851980937906349,4.998146347347391,0.040459629686860836,0.003911801032786962,0.08382572691594792,0.0025308084478253435,2.995032024451755,4.554468504042191,0.01949628759129731,50.087941080741054,185185.99377814392,0.634913100560506,NO,NO,NO,NO
21,2.8506791618645972,4.997083137258742,0.007399705436903546,0.009412351137327102,0.06989386251053739,0.008086272699460861,1.1971793769159027,4.679352745565073,1.3079672510464144,376.60278470527606,54330.66389650485,0.6282105592121636,NO,NO,NO,NO
22,3.6263121695489917,4.997482586376685,0.00040755124959946515,0.0033470930946645876,0.03126918530725882,0.0034379935265457886,2.054233394476223,4.892268473116233,0.0010949993237719946,107.26909580180732,32849.400960459454,0.6263889100986593,NO,NO,NO,NO
23,3.6263121695489917,4.997487705537941,0.00040755124959946515,0.0033470930946645876,0.02959777153778591,0.0034379935265457886,2.054233394476223,4.892268473116233,0.0010949993237719946,107.86043758142897,33021.31379446714,0.6276110803935802,NO,NO,NO,NO
24,3.2397105053695423,4.9972101260415975,0.04703281265874977,0.006227738044848243,0.16298680727717227,0.002553173391480675,3.9799575442192596,3.757956651942517,0.07179628330883395,15.133381957648009,199718.4048666092,0.633261964130164,NO,NO,NO,NO
25,3.5902323002439323,4.997552263861286,9.137333657996059e-07,0.0021053752454752504,0.02433528345081582,0.0021598773758047594,3.835170609373347,1.0341565908113532,0.9183473310950417,268.6611572535631,4531.21728063354,0.6226477664001951,NO,NO,NO,NO
26,3.3960641609908286,4.997552263861286,3.417488312777828e-09,0.01922481334750459,0.02433528345081582,0.0021593581477050696,3.822271833401205,1.0341565908113532,0.009167570456770247,8.054709712743795,1787.0185867662326,0.621448009644682,NO,NO,NO,NO
27,3.501186241112481,4.998971670820623,0.06865976004686031,0.00044315068957830343,0.15677479832521374,0.0022074832273682016,1.7454419321807348,3.6684109675185663,3.405825987744646e-11,7.072142762524241e-09,291554.27838381793,0.6349249210918928,NO,NO,NO,NO
28,2.8210988059205038,4.999002471470485,0.0007710097394100033,0.0006748136990294149,0.06997245698292821,0.002404181266665994,3.994281279732207,4.014863778962821,0.49047477819982066,187.53940387756884,24452.620777586802,0.6251182010977214,NO,NO,NO,NO
29,3.483238389721045,4.989799631602089,0.0227195077484778,0.018130316646697703,0.07081406531156202,0.00410876302262084,2.198415076448656,4.895657022617472,0.2741192730688612,125.04093643335787,115668.30128828384,0.6315189400269978,NO,NO,NO,NO
30,3.7727764714624747,4.999993749833182,0.03172929514427698,0.0010625562304457405,0.2733344723736229,0.00046722208217813647,2.8036869017050803,3.774671096758098,5.8676817092519094e-08,1.2184146483761314e-05,134734.11126259647,0.6271860862211005,NO,NO,NO,NO
31,3.620499644037029,4.990216909879613,0.05255977309529402,0.017769614063669975,0.09097710802872555,0.0014281058569756138,2.198738869551107,4.969410726844757,0.00014207553903070047,35.89201192730898,233613.71097507927,0.6343590310513118,NO,NO,NO,NO
32,3.120743899007635,4.99724777804002,0.02377241796135837,0.0032435840396904106,0.07105869850871764,0.0026425761238462854,2.0532552785504894,4.967707456133085,0.36434118125215675,156.86281222176444,122780.94748426565,0.6329843937321513,NO,NO,NO,NO
33,3.1249761674391294,4.99724777804002,0.0037413817310303875,0.00011716653899514906,0.07105869850871764,0.002653505045558036,2.21166195358061,4.967707456133085,0.0016426355763682066,94.15189741330289,43159.590883043646,0.6273511557927757,NO,NO,NO,NO
34,3.483238389721045,4.987146254513158,0.03344065493435066,0.00026740431866184664,0.0708622619791601,0.004243075972925497,2.4646312869906795,4.874596078316046,0.6514961572030642,213.96471079939718,161297.76575959256,0.6339173682174544,NO,NO,NO,NO
35,3.536337619163851,4.9997749815918775,0.06255419544033551,0.0010693972443204705,0.16031923980782364,0.000445515002225559,2.2300290931512223,4.707433302084888,5.766460966483023e-08,6.154482317692796,267417.03982523177,0.6349514596500273,NO,NO,NO,NO
36,3.5319445552383852,4.998753589037377,0.05055912319435496,0.01817320824284405,0.09097710802872555,0.0041149536171331234,2.0638513473166062,4.9674178147957395,0.00028187584821177166,37.32601518461313,225526.674060695,0.6354755078594894,NO,NO,NO,NO
37,3.867945103655954,4.998146347347391,0.017505728064025484,0.003876471842730595,0.0844293894705817,0.002664586391179062,3.0299452736462804,4.480455749276606,0.01949628759129731,67.39556353826,92747.245470194,0.6313416223037298,NO,NO,NO,YES
38,3.676200666926832,4.999002919744379,0.004676007170058304,0.0003758662278091693,0.15223766328157634,4.861533878280661e-06,1.8371751232493962,4.7582283411833775,3.405825987744646e-11,59.11510545958597,37041.76347669353,0.6243268712642838,NO,NO,NO,NO
39,2.8654273888521975,4.9933138524157945,0.005207480672573107,0.0013837871758630236,0.06033428964342749,0.0014093775817705296,2.3793797903335743,4.816627824629104,0.00012892595498023574,91.93438775055361,48831.918226843685,0.6281802835933792,NO,NO,NO,NO
40,3.4480782985196887,4.997279383876531,0.013042046950592663,0.003525180181288198,0.0634424376339446,0.0025760500483642743,2.21166195358061,3.6880034327171223,0.44856384619255346,158.0844352892512,71419.10000498149,0.6290298450418996,NO,NO,NO,NO
41,3.521794978698574,4.9981338808517695,3.233950264684262e-05,0.0019866568777497937,0.041401488827503594,0.0012524992842226164,2.304217066470123,3.4924183699869564,0.6460360746607051,263.6405941220371,20463.126481110023,0.6249129341812563,NO,NO,NO,NO
42,3.483238389721045,4.999756646963862,0.03344065493435066,0.0002672590515006161,0.0708622619791601,0.0041845848986355105,4.330447752094992,4.206113796525218,0.6514961572030642,197.7170913602629,156517.91634774074,0.6335682077041147,NO,NO,NO,NO
43,3.626492449860613,4.997482586376685,0.0356491305191392,0.004105012278862656,0.08492416281916611,0.0034379935265457886,2.054233394476223,4.715169218781742,0.0026759708806055917,54.081455825099276,166939.93112776734,0.6332384286644557,NO,NO,NO,NO
44,3.1431171873853123,4.989799631602089,0.02294277166749347,0.018130316646697703,0.07081554017497871,0.002645511425108089,2.211592421574739,4.897896101573607,0.2741192730688612,126.16381007237443,116577.47954453935,0.6316071705743809,NO,NO,NO,NO
45,3.2149293924559563,4.994661985164731,0.049193586799833725,0.0009142741585152639,0.12052440724835227,0.0008815585379919644,4.118241795036807,4.9343779013722955,0.024068737905992038,41.90192638806263,219601.1907385047,0.6344677639708325,NO,NO,NO,NO
