n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,80,5.63748152036754,784955.6773215261,0.4275492456965775,13
2,160,5.63748152036754,384660.64321717736,0.42443796023394154,23
3,240,5.63748152036754,319211.0148655722,0.41434311859214645,7
4,320,1.2594676676308705,316241.33187526197,0.43081560642978944,12
5,400,1.2594676676308705,81370.31306858108,0.4276877340516844,20
6,480,0.013324611076478046,362.8172478588127,0.42770361310763905,15
7,560,0.013324611076478046,362.8172478588127,0.4272575067318001,14
8,640,0.013324611076478046,362.8172478588127,0.47479442463880017,14
9,720,0.0020069451918229616,362.8172478588127,0.42568796258437874,18
10,800,0.0020069451918229616,362.8172478588127,0.4375056544659682,20
11,880,0.0020069451918229616,119.14149005075471,0.47536182742816263,22
12,960,0.0020069451918229616,81.42159725530685,0.45833226234650215,25
13,1040,0.0020069451918229616,42.40876130933181,0.447175653708099,33
14,1120,0.0015146398282957876,42.40876130933181,0.45833226234650215,39
15,1200,0.0015146398282957876,42.40876130933181,0.4627365592118173,44
16,1280,0.0015146398282957876,42.40876130933181,0.45919939195036025,48
17,1360,0.00016382371813968198,42.40876130933181,0.46269528750824335,58
18,1440,2.4207804498914745e-06,20.51895681192398,0.4984678199347965,52
19,1520,4.971157294481632e-07,18.230251530912987,0.49657070038094275,53
20,1600,4.971157294481632e-07,18.230251530912987,0.48437916575345474,56
21,1680,4.971157294481632e-07,4.795897959174355,0.4984678199347965,57
22,1760,2.3251981821951262e-08,4.795897959174355,0.5028330447453391,60
23,1840,2.073130380922399e-08,3.2393286814035296,0.5028330447453391,66
24,1920,2.073130380922399e-08,3.2393286814035296,0.5387641132618599,61
25,2000,2.073130380922399e-08,3.2393286814035296,0.5687079185067967,61
26,2080,2.073130380922399e-08,3.1336438921194354,0.5625892998752674,56
27,2160,2.073130380922399e-08,3.1336438921194354,0.5625892998752674,66
28,2240,2.0539177990616413e-08,1.947710653971611,0.5872910282319799,72
29,2320,2.027674151107117e-08,1.947710653971611,0.5872910282319799,61
