n_gen,n_eval,best_cost,best_emissions,best_resilience,n_pareto
1,20,0.0,936808.6797496001,0.5054327487321433,3
2,40,0.0,936808.6797496001,0.5054327487321433,3
3,60,0.0,936808.6797496001,0.5054327487321433,4
4,80,0.0,936808.6797496001,0.5104837140294698,5
5,100,0.0,893660.5159712487,0.58025105114613,3
6,120,0.0,892803.1167733727,0.5487897825716797,4
7,140,0.0,859008.9986122355,0.5888918498786634,1
8,160,0.0,859008.9986122355,0.5888918498786634,2
9,180,0.0,857678.7468244289,0.5728484502692326,3
10,200,0.0,857173.0152385747,0.5944604584328301,1
